game_id,possessions_weighted,shots_weighted,goals_weighted,shot_rate,goal_rate,turnovers_weighted,turnover_rate,ejections_drawn_weighted,ejections_per_poss,five_m_drawn_weighted,5m_per_poss
1,29.0,26.0,12.0,0.897,0.414,3.0,0.103,0.0,0.0,0.0,0.0
10,18.9,18.9,11.2,1.0,0.593,0.0,0.0,0.0,0.0,0.0,0.0
11,8.4,8.4,4.9,1.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0
12,4.0,4.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
13,2.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,24.0,18.0,11.0,0.75,0.458,6.0,0.25,0.0,0.0,0.0,0.0
3,23.0,16.0,7.0,0.696,0.304,5.0,0.217,2.0,0.087,0.0,0.0
4,25.0,18.0,4.0,0.72,0.16,7.0,0.28,0.0,0.0,0.0,0.0
5,23.0,10.0,4.0,0.435,0.174,13.0,0.565,0.0,0.0,0.0,0.0
6,26.0,15.0,3.0,0.577,0.115,11.0,0.423,0.0,0.0,0.0,0.0
7,25.1,16.6,9.0,0.661,0.359,6.4,0.255,1.4,0.056,0.7,0.028
8,16.1,16.1,11.9,1.0,0.739,0.0,0.0,0.0,0.0,0.0,0.0
9,4.9,4.9,1.4,1.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0
